name,quantity,unit
cake flour,360,g
baking soda,4.6,g
cocoa powder,10,g
salt,2.8,g
butter,113,g
sugar,400,g
vegetable oil,240,ml
eggs,4,
vanilla extract,1,tbsp
buttermilk,240,ml
