name,quantity,unit
flour,94,g
cocoa powder,41,g
espresso powder,1.8,g
baking powder,3.6,g
baking soda,2.3,g
salt,1.4,g
eggs,2,
sugar,100,g
brown sugar,100,g
vegetable oil,80,ml
vanilla extract,2,tsp
buttermilk,120,ml
