name,price,quantity,unit
flour,4.19,5,lb
sugar,3.77,4,lb
powdered sugar,3.53,32,oz
heavy cream,3.87,1,pt
eggs,4.97,12,
cocoa,6.19,8,oz
milk,3.07,64,floz
vanilla,6.63,2,floz
butter,4.87,16,oz
kerrygold,18.12,32,oz
vanilla bean paste,61.87,13.52,floz
