name,quantity,unit
flour,240,g
sugar,200,g
baking soda,1.3,g
baking powder,4,g
salt,1.5,g
butter,170,g
eggs,3,
vanilla extract,1,tsp
sour cream,120,g
milk,120,ml
oreos,120,g
